t,w,d,c,policy,schedule,evictions,trials,failures,failure_rate,failure_log2,failure_ci95_low,failure_ci95_high,exact_waterfall_failure,exact_waterfall_failure_log2,batch_failure_log2,batch_ci95_high_log2,mean_unplaced,p95_unplaced,output_columns,local_expansion_N,bin_solver_calls,index_bits,waterfall_pair_tests,main_one_hot_bits,repair_steps,repair_scan_units,rough_repair_index_bit_ops,optimized_repair_scan_units,rough_optimized_repair_index_bit_ops
16,3,10,0,oracle,none,0,50000,1,2e-05,-15.609640474436812,3.5304998228322403e-06,0.00011328970139119826,0.17507766741477812,-2.5139330269055415,-7.609640474436811,-5.107695660731253,2e-05,0,30,3,3,4,360,480,0,0,0,0,0
16,3,10,1,waterfall,none,0,50000,655,0.0131,-6.2542893780119995,0.012140108705453912,0.014134701798908482,0.012862003294866975,-6.280740825609319,0.0,0.0,0.18836,1,31,4,3,4,360,480,0,0,0,0,0
16,3,10,1,biased,global,2,50000,113,0.00226,-8.789461512021624,0.0018802782541554879,0.002716197778790372,0.012862003294866975,-6.280740825609319,-0.7894615120216241,-0.5241957520265866,0.17716,1,31,4,3,4,360,480,2,96,768,48,384
16,3,10,1,uniform,global,2,50000,291,0.00582,-7.424765131528528,0.005190169218611863,0.006525759832622085,0.012862003294866975,-6.280740825609319,0.0,0.0,0.18074,1,31,4,3,4,360,480,2,96,768,48,384
16,3,10,1,biased,global,4,50000,33,0.00066,-10.565246355078358,0.00047001589226615935,0.0009267059751569656,0.012862003294866975,-6.280740825609319,-2.5652463550783584,-2.0756007057136845,0.17542,1,31,4,3,4,360,480,4,192,1536,192,1536
16,3,10,1,uniform,global,4,50000,39,0.00078,-10.324238255574564,0.0005706699259427497,0.0010660335038945802,0.012862003294866975,-6.280740825609319,-2.3242382555745635,-1.8735315040293608,0.17556,1,31,4,3,4,360,480,4,192,1536,192,1536
16,3,10,1,biased,global,8,50000,3,6e-05,-14.024677973715656,2.040561961297866e-05,0.00017640843573912024,0.012862003294866975,-6.280740825609319,-6.024677973715655,-4.468792828245825,0.17482,1,31,4,3,4,360,480,8,384,3072,384,3072
16,3,10,1,uniform,global,8,50000,4,8e-05,-13.609640474436812,3.111086355359054e-05,0.00020570011886754256,0.012862003294866975,-6.280740825609319,-5.609640474436811,-4.24716975199888,0.17484,1,31,4,3,4,360,480,8,384,3072,384,3072
16,3,10,1,biased,global,16,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.012862003294866975,-6.280740825609319,-inf,-5.668097022777023,0.17476,1,31,4,3,4,360,480,16,768,6144,768,6144
16,3,10,1,uniform,global,16,50000,2,4e-05,-14.609640474436812,1.0969511301390654e-05,0.00014584761698167403,0.012862003294866975,-6.280740825609319,-6.609640474436811,-4.743250565454653,0.1748,1,31,4,3,4,360,480,16,768,6144,768,6144
16,3,10,1,biased,global,32,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.012862003294866975,-6.280740825609319,-inf,-5.668097022777023,0.17476,1,31,4,3,4,360,480,32,1536,12288,1536,12288
16,3,10,1,uniform,global,32,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.012862003294866975,-6.280740825609319,-inf,-5.668097022777023,0.17476,1,31,4,3,4,360,480,32,1536,12288,1536,12288
16,3,10,1,oracle,none,0,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.012862003294866975,-6.280740825609319,-inf,-5.668097022777023,0.0,0,31,4,3,4,360,480,0,0,0,0,0
16,3,10,2,waterfall,none,0,50000,25,0.0005,-10.965784284662087,0.00033871117174399457,0.0007380352791268567,0.000437726550415301,-11.157682485883683,-2.965784284662087,-2.4040225987585355,0.18716,1,32,5,3,4,360,480,0,0,0,0,0
16,3,10,2,biased,global,2,50000,4,8e-05,-13.609640474436812,3.111086355359054e-05,0.00020570011886754256,0.000437726550415301,-11.157682485883683,-5.609640474436811,-4.24716975199888,0.18674,1,32,5,3,4,360,480,2,96,768,48,384
16,3,10,2,uniform,global,2,50000,9,0.00018,-12.4397154729945,9.470426823108684e-05,0.00034209134953521727,0.000437726550415301,-11.157682485883683,-4.439715472994499,-3.513330756415378,0.18684,1,32,5,3,4,360,480,2,96,768,48,384
16,3,10,2,biased,global,4,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.000437726550415301,-11.157682485883683,-inf,-5.668097022777023,0.18666,1,32,5,3,4,360,480,4,192,1536,192,1536
