selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
leakage,8.0,0,9,0.0,-144.00019812250224,0.0,146.2674778248299,146.2674778248299,-18.26747782482991
uniform,0.0,0,9,0.0,-144.00019812250224,0.0,128.01268613229203,128.01268613229203,-0.01268613229203197
leakage,0.0,0,10,0.0,-160.0002201361136,0.0,128.0140957025467,128.0140957025467,-0.014095702546711664
leakage,0.25,0,10,0.0,-160.0002201361136,0.0,127.76242360882439,127.76242360882439,0.23757639117560814
leakage,0.5,0,10,0.0,-160.0002201361136,0.0,127.57241705702849,127.57241705702849,0.42758294297151167
leakage,1.0,0,10,0.0,-160.0002201361136,0.0,127.37404495254711,127.37404495254711,0.6259550474528908
leakage,2.0,0,10,0.0,-160.0002201361136,0.0,127.67784641834172,127.67784641834172,0.32215358165828434
leakage,4.0,0,10,0.0,-160.0002201361136,0.0,130.88419418795127,130.88419418795127,-2.884194187951266
leakage,8.0,0,10,0.0,-160.0002201361136,0.0,146.2688873950846,146.2688873950846,-18.26888739508459
uniform,0.0,0,10,0.0,-160.0002201361136,0.0,128.0140957025467,128.0140957025467,-0.014095702546711664
leakage,0.0,0,11,0.0,-176.00024214972495,0.0,128.0155052728014,128.0155052728014,-0.015505272801391357
leakage,0.25,0,11,0.0,-176.00024214972495,0.0,127.76383317907907,127.76383317907907,0.23616682092092844
leakage,0.5,0,11,0.0,-176.00024214972495,0.0,127.57382662728317,127.57382662728317,0.426173372716832
